"","typingDuration","game_id","video_id","hour","dayOfWeek","match"
"10533",1000,6180,2713,12,5,2.55699929711348
"10534",1000,6180,2713,12,5,5.43133765700159
"10535",3000,6180,2713,12,5,1.22418866751134
"10536",2000,6180,2713,12,5,5.89445633867052
"10537",1000,6180,2713,12,5,5.25476668489545
"10538",1000,6180,2713,12,5,2.38253806548372
"10539",1000,6180,2713,12,5,5.27492301231193
"10540",1000,6180,2713,12,5,3.81873178106443
"10541",2000,6180,2713,12,5,3.65739504639216
"10542",1000,6180,2713,12,5,10.7669151240274
"10543",1000,6182,2713,12,5,10.2910532298682
"10544",2000,6182,2713,12,5,11.1966060566145
"10545",2000,6182,2713,12,5,12.5581070970647
"10546",3000,6182,2713,12,5,10.7679964649806
"10547",2000,6182,2713,12,5,4.17547753659261
"10548",0,6182,2713,12,5,5.69175223195259
"10549",1000,6182,2713,12,5,3.71232561001288
"10550",2000,6182,2713,12,5,0.9530197187202
"10551",2000,6182,2713,12,5,6.17358181406583
"10552",1000,6182,2713,12,5,4.0132862346103
"10553",1000,6182,2713,12,5,2.3200589735512
"10554",1000,6182,2713,12,5,5.27492301231193
"10555",1000,6182,2713,12,5,5.1265123052743
"10556",1000,6182,2713,12,5,7.67032004603564
"10557",1000,6182,2713,12,5,10.7669151240274
"10558",1000,6183,2713,12,5,9.5115027777722
"10559",2000,6183,2713,12,5,9.5789654806985
"10560",1000,6183,2713,12,5,8.8582661153749
"10561",1000,6183,2713,12,5,11.8638448861746
"10562",1000,6183,2713,12,5,3.60869980926648
"10563",2000,6183,2713,12,5,0.67740770842597
"10564",2000,6183,2713,12,5,6.16251534207011
"10565",1000,6183,2713,12,5,2.18627314224999
"10566",0,6183,2713,12,5,4.56409226128813
"10567",0,6183,2713,12,5,6.09962066689323
"10568",2000,6183,2713,12,5,1.04158928588093
"10569",1000,6183,2713,12,5,6.17358181406583
"10570",1000,6183,2713,12,5,1.04973402003902
"10571",1000,6183,2713,12,5,5.27492301231193
