"","typingDuration","game_id","video_id","hour","dayOfWeek","match"
"32673",1000,13147,3647,21,3,0.54881163609403
"32674",1000,13147,3647,21,3,3.75566999721855e-09
"32675",1000,13152,3134,21,3,0
"32676",0,13153,7113,21,3,0
"32677",1000,13153,7113,21,3,0
"32678",1000,13153,7113,21,3,0
"32679",1000,13154,6818,21,3,1
"32680",1000,13156,2256,21,3,0
"32681",1000,13157,10444,21,3,0
"32682",1000,13158,10444,21,3,0
"32683",1000,13158,10444,21,3,1
"32684",1000,13160,2133,21,3,0.54733265351115
"32685",1000,13160,2133,21,3,0.6023884238244
"32686",1000,13160,2133,21,3,1.21913168212967
"32687",2000,13160,2133,21,3,0.67032004603564
"32688",1000,13160,2133,21,3,1.48905079911362
"32689",3000,13160,2133,21,3,0.54881163609403
"32690",1000,13161,142,22,3,1
"32691",1000,13161,142,22,3,1
"32692",1000,13162,168,22,3,0.0771107908151598
"32693",4000,13162,168,22,3,1.778243344369
"32694",1000,13162,168,22,3,2.03786243520765
"32695",0,13163,6862,22,3,0
"32696",1000,13165,2959,22,3,9.8963570980957
"32697",2000,13165,2959,22,3,5.92597488956268
"32698",1000,13165,2959,22,3,2.23111925748122
"32699",1000,13165,2959,22,3,5.05830472822103
"32700",1000,13165,2959,22,3,3.96143169999129
"32701",1000,13165,2959,22,3,3.36061304117934
"32702",0,13165,2959,22,3,2.77412994445266
"32703",1000,13165,2959,22,3,3.70795716103316
"32704",0,13165,2959,22,3,0.68194144246235
"32705",0,13165,2959,22,3,4.367414129082
"32706",1000,13165,2959,22,3,6.76045210280454
"32707",1000,13165,2959,22,3,9.4342938574612
"32708",2000,13165,2959,22,3,7.09565841064833
"32709",1000,13165,2959,22,3,4.74604499188569
"32710",0,13165,2959,22,3,0.00255719890262007
"32711",1000,13165,2959,22,3,2.64363812204911
"32712",1000,13168,6081,22,3,0
"32713",2000,13169,5908,22,3,0
"32714",1000,13173,2071,22,3,0
"32715",0,13173,2071,22,3,0
"32716",2000,13173,2071,22,3,0.67032156117975
"32717",1000,13173,2071,22,3,1.36754238917201
"32718",1000,13173,2071,22,3,0
"32719",2000,13174,2980,22,3,0.81873075307798
"32720",1000,13174,2980,22,3,0
"32721",1000,13175,3432,22,3,11.1201432676547
"32722",1000,13175,3432,22,3,1.87954900107555
"32723",1000,13176,5104,22,3,0
"32724",1000,13188,3619,10,4,0.81873075307798
"32725",1000,13188,3619,10,4,8.40199021467924e-11
"32726",0,13188,3619,10,4,6.67053350417221
"32727",1000,13188,3619,10,4,1.32397490812295
"32728",1000,13188,3619,10,4,1.16535826327985
"32729",0,13188,3619,10,4,10.810653332422
"32730",1000,13188,3619,10,4,1.37450769877034e-07
"32731",1000,13188,3619,10,4,4.15937084514926
"32732",3000,13218,3838,19,4,7.78673766273947
"32733",2000,13218,3838,19,4,5.4982868558753
"32734",1000,13218,3838,19,4,0.62101096902336
"32735",1000,13218,3838,19,4,1.18490106615354e-10
"32736",1000,13218,3838,19,4,0
"32737",0,13218,3838,19,4,5.65352289871868e-07
"32738",1000,13218,3838,19,4,6.30778155220549
"32739",0,13218,3838,19,4,6.57611722422413
"32740",1000,13218,3838,19,4,2.81707809433731
"32741",1000,13218,3838,19,4,5.41026573875309
"32742",0,13223,6846,19,4,0.44932896411722
"32743",1000,13223,6846,19,4,0
"32744",0,13223,6846,19,4,0
"32745",1000,13227,3045,19,4,10.9123845184679
"32746",1000,13226,7048,19,4,0.71411000981184
"32747",1000,13226,7048,19,4,1
"32748",2000,13226,7048,19,4,0.81873075307798
"32749",0,13228,3739,19,4,9.2160131179679
"32750",0,13228,3739,19,4,3.81873075307798
"32751",2000,13228,3739,19,4,7.86927407066218
"32752",3000,13228,3739,19,4,2.81191266083534
"32753",2000,13228,3739,19,4,3.58712795159193
"32754",1000,13228,3739,19,4,5.61970534730316
"32755",1000,13228,3739,19,4,2.97810159822724
"32756",2000,13228,3739,19,4,11.7167394360509
"32757",0,13229,11912,19,4,0
"32758",1000,13229,11912,19,4,0
"32759",0,13230,7045,20,4,1.63746150615596
"32760",0,13233,3480,21,4,4.09245697741126
"32761",1000,13233,3480,21,4,0.78656076534849
"32762",1000,13233,3480,21,4,0.0407622039783702
"32763",1000,13233,3480,21,4,0
"32764",1000,13233,3480,21,4,1.41366897187514
"32765",0,13233,3480,21,4,0.2261089508468
"32766",2000,13233,3480,21,4,1.48905079911362
"32767",1000,13233,3480,21,4,2.45111343997258
"32768",0,13234,3228,21,4,1.1660776058208
"32769",1000,13234,3228,21,4,6.13172520522753
"32770",1000,13234,3228,21,4,0.0045165809426102
"32771",1000,13234,3228,21,4,1.03120303795737
"32772",2000,13234,3228,21,4,6.25401952447646e-11
"32773",1000,13234,3228,21,4,0.30671082689982
"32774",2000,13234,3228,21,4,3.27492301231488
"32775",1000,13234,3228,21,4,0
"32776",1000,13234,3228,21,4,2.38109042585323
"32777",0,13234,3228,21,4,1.2680597171952
"32778",0,13236,3480,21,4,5.78447973341594
"32779",0,13236,3480,21,4,0.0407622039783702
"32780",0,13236,3480,21,4,0.86646539189747
"32781",1000,13236,3480,21,4,8.1376708398568
"32782",2000,13236,3480,21,4,7.17033230237376
"32783",2000,13236,3480,21,4,1.87768141591445
"32784",2000,13236,3480,21,4,0.67032004603564
"32785",0,13236,3480,21,4,2.79212740533789
"32786",2000,13236,3480,21,4,4.35331538338196
"32787",2000,13236,3480,21,4,4.15038859533381
"32788",2000,13236,3480,21,4,0.63359303337604
